index,id,sg_uf,nm_meso_regiao,nm_micro_regiao,setor,nm_divisao,de_faixa_faturamento_estimado,vl_faturamento_estimado_aux,de_nivel_atividade,idade_emp_cat,de_saude_tributaria,de_saude_rescencia,fl_optante_simples,fl_optante_simei,fl_simples_irregular,fl_passivel_iss,fl_me,fl_sa,fl_epp,fl_mei,fl_ltda,fl_spa,fl_st_especial,fl_email,fl_telefone,fl_rm,fl_antt,fl_veiculo,vl_total_veiculos_pesados_grupo,vl_total_veiculos_leves_grupo,fl_matriz,qt_filiais,lat,lng
0,393559,PI,SUDOESTE PIAUIENSE,SAO RAIMUNDO NONATO,COMERCIO,COMERCIO VAREJISTA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0,BAIXA,<= 1,CINZA,SEM INFORMACAO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,1,0,-9.056215760878686,-42.99891820546836
1,47345,PI,SUDOESTE PIAUIENSE,SAO RAIMUNDO NONATO,COMERCIO,COMERCIO VAREJISTA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0,BAIXA,<= 1,CINZA,SEM INFORMACAO,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0.0,1,0,-9.056215760878686,-42.99891820546836
2,429644,PI,SUDOESTE PIAUIENSE,SAO RAIMUNDO NONATO,COMERCIO,COMERCIO VAREJISTA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0,BAIXA,<= 1,CINZA,SEM INFORMACAO,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0.0,1,0,-9.056215760878686,-42.99891820546836
3,197621,PI,SUDOESTE PIAUIENSE,SAO RAIMUNDO NONATO,COMERCIO,COMERCIO VAREJISTA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0,BAIXA,<= 1,CINZA,SEM INFORMACAO,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0.0,1,0,-9.056215760878686,-42.99891820546836
4,182656,PI,SUDOESTE PIAUIENSE,SAO RAIMUNDO NONATO,COMERCIO,COMERCIO VAREJISTA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0,BAIXA,<= 1,CINZA,SEM INFORMACAO,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0.0,1,0,-9.056215760878686,-42.99891820546836
5,91333,MA,CENTRO MARANHENSE,MEDIO MEARIM,COMERCIO,COMERCIO VAREJISTA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0,MEDIA,5 a 10,VERDE,ACIMA DE 1 ANO,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,4,-4.438264943735326,-44.86431167708525
6,121864,MA,CENTRO MARANHENSE,MEDIO MEARIM,COMERCIO,COMERCIO VAREJISTA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0,MEDIA,5 a 10,VERDE,ACIMA DE 1 ANO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,4,-4.438264943735326,-44.86431167708525
7,182229,MA,CENTRO MARANHENSE,MEDIO MEARIM,COMERCIO,COMERCIO VAREJISTA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0,MEDIA,5 a 10,VERDE,ACIMA DE 1 ANO,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,3,-4.438264943735326,-44.86431167708525
8,407802,MA,CENTRO MARANHENSE,PRESIDENTE DUTRA,COMERCIO,COMERCIO VAREJISTA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0,MEDIA,5 a 10,VERDE,ACIMA DE 1 ANO,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,4,-5.33022741280586,-44.266235707645215
9,388197,MA,OESTE MARANHENSE,PINDARE,COMERCIO,COMERCIO VAREJISTA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0,MEDIA,5 a 10,VERDE,ACIMA DE 1 ANO,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,4,-3.9347846725329614,-45.804197972034274
10,377729,MA,NORTE MARANHENSE,AGLOMERACAO URBANA DE SAO LUIS,COMERCIO,COMERCIO VAREJISTA,"ATE R$ 81.000,00",50000.0,MEDIA,5 a 10,AZUL,ACIMA DE 1 ANO,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0.0,1,0,-2.5629617573238668,-44.14298203247793
11,35815,MA,NORTE MARANHENSE,AGLOMERACAO URBANA DE SAO LUIS,COMERCIO,COMERCIO VAREJISTA,"ATE R$ 81.000,00",50000.0,MEDIA,5 a 10,AZUL,ACIMA DE 1 ANO,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0.0,1,0,-2.5629617573238668,-44.14298203247793
12,304360,MA,NORTE MARANHENSE,AGLOMERACAO URBANA DE SAO LUIS,COMERCIO,COMERCIO VAREJISTA,"ATE R$ 81.000,00",50000.0,MEDIA,5 a 10,AZUL,ACIMA DE 1 ANO,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0.0,1,0,-2.5629617573238668,-44.14298203247793
13,28330,MA,NORTE MARANHENSE,AGLOMERACAO URBANA DE SAO LUIS,COMERCIO,COMERCIO VAREJISTA,"ATE R$ 81.000,00",50000.0,MEDIA,5 a 10,AZUL,ACIMA DE 1 ANO,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0.0,1,0,-2.5629617573238668,-44.14298203247793
14,46151,MA,NORTE MARANHENSE,AGLOMERACAO URBANA DE SAO LUIS,COMERCIO,COMERCIO VAREJISTA,"ATE R$ 81.000,00",50000.0,MEDIA,5 a 10,AZUL,ACIMA DE 1 ANO,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.0,0.0,1,0,-2.5629617573238668,-44.14298203247793
15,195279,RN,OESTE POTIGUAR,UMARIZAL,COMERCIO,COMERCIO VAREJISTA,"ATE R$ 81.000,00",50000.0,ALTA,> 20,VERDE,ACIMA DE 1 ANO,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,-6.108589700995354,-37.81975253976374
16,125145,RN,OESTE POTIGUAR,UMARIZAL,COMERCIO,COMERCIO VAREJISTA,"ATE R$ 81.000,00",50000.0,ALTA,> 20,VERDE,ACIMA DE 1 ANO,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,-6.108589700995354,-37.81975253976374
